xcelium> run
--------------------mux32_1---------------------
source: 10000000010111001001101111010010
select   result
   0         0
   1         1
   2         0
   3         0
   4         1
   5         0
   6         1
   7         1
   8         1
   9         1
  10         0
  11         1
  12         1
  13         0
  14         0
  15         1
  16         0
  17         0
  18         1
  19         1
  20         1
  21         0
  22         1
  23         0
  24         0
  25         0
  26         0
  27         0
  28         0
  29         0
  30         0
  31         1
----------------------------------------------------
Simulation complete via $finish(1) at time 360 NS + 0
../test/mux32_1_tb.v:122         $finish;
