xcelium> run
--------------------sll_32---------------------
rt: 10000000010111001001101111010010
shamt   rd
    0   10000000010111001001101111010010
    1   00000000101110010011011110100100
    2   00000001011100100110111101001000
    3   00000010111001001101111010010000
    4   00000101110010011011110100100000
    5   00001011100100110111101001000000
    6   00010111001001101111010010000000
    7   00101110010011011110100100000000
    8   01011100100110111101001000000000
    9   10111001001101111010010000000000
   10   01110010011011110100100000000000
   11   11100100110111101001000000000000
   12   11001001101111010010000000000000
   13   10010011011110100100000000000000
   14   00100110111101001000000000000000
   15   01001101111010010000000000000000
   16   10011011110100100000000000000000
   17   00110111101001000000000000000000
   18   01101111010010000000000000000000
   19   11011110100100000000000000000000
   20   10111101001000000000000000000000
   21   01111010010000000000000000000000
   22   11110100100000000000000000000000
   23   11101001000000000000000000000000
   24   11010010000000000000000000000000
   25   10100100000000000000000000000000
   26   01001000000000000000000000000000
   27   10010000000000000000000000000000
   28   00100000000000000000000000000000
   29   01000000000000000000000000000000
   30   10000000000000000000000000000000
   31   00000000000000000000000000000000
------------------------------------------------
Simulation complete via $finish(1) at time 360 NS + 0
../test/sll_32_tb.v:122         $finish;
