xcelium> run
--------------------srl_32---------------------
rt: 10000000010111001001101111010010
shamt   rd
    0   10000000010111001001101111010010
    1   01000000001011100100110111101001
    2   00100000000101110010011011110100
    3   00010000000010111001001101111010
    4   00001000000001011100100110111101
    5   00000100000000101110010011011110
    6   00000010000000010111001001101111
    7   00000001000000001011100100110111
    8   00000000100000000101110010011011
    9   00000000010000000010111001001101
   10   00000000001000000001011100100110
   11   00000000000100000000101110010011
   12   00000000000010000000010111001001
   13   00000000000001000000001011100100
   14   00000000000000100000000101110010
   15   00000000000000010000000010111001
   16   00000000000000001000000001011100
   17   00000000000000000100000000101110
   18   00000000000000000010000000010111
   19   00000000000000000001000000001011
   20   00000000000000000000100000000101
   21   00000000000000000000010000000010
   22   00000000000000000000001000000001
   23   00000000000000000000000100000000
   24   00000000000000000000000010000000
   25   00000000000000000000000001000000
   26   00000000000000000000000000100000
   27   00000000000000000000000000010000
   28   00000000000000000000000000001000
   29   00000000000000000000000000000100
   30   00000000000000000000000000000010
   31   00000000000000000000000000000001
------------------------------------------------
Simulation complete via $finish(1) at time 360 NS + 0
../test/srl_32_tb.v:122         $finish;
